
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
10 	***                                 4837
15 	***                                 4534
20 	***                                 4628
25 	***                                 4476
30 	***                                 4295
35 	***                                 3990
40 	****                                7034
50 	********                            18857
100 	****                                6466
250 	*                                   458
500 	*                                   404

sample: ED_19
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12433
5 	****                                6253
10 	***                                 4645
15 	***                                 4205
20 	***                                 3832
25 	***                                 3686
30 	**                                  3409
35 	**                                  3020
40 	***                                 5277
50 	*******                             15052
100 	****                                8328
250 	*                                   793
500 	*                                   485

sample: ED_2
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12809
5 	***                                 6578
10 	***                                 4957
15 	***                                 4330
20 	***                                 4277
25 	***                                 4278
30 	***                                 4263
35 	***                                 4244
40 	****                                7630
50 	********                            20066
100 	***                                 6160
250 	*                                   410
500 	*                                   426

sample: ED_20
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12184
5 	****                                6405
10 	***                                 4590
15 	***                                 4290
20 	***                                 4078
25 	***                                 3818
30 	***                                 3430
35 	**                                  3129
40 	***                                 5133
50 	*******                             13734
100 	****                                6476
250 	*                                   588
500 	*                                   403

sample: ED_21
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10095
5 	***                                 5203
10 	***                                 4090
15 	***                                 3999
20 	**                                  3573
25 	**                                  3468
30 	**                                  3261
35 	**                                  3015
40 	***                                 5419
50 	********                            18281
100 	******                              12818
250 	**                                  1352
500 	*                                   573

sample: ED_4
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12675
5 	***                                 6182
10 	***                                 4460
15 	**                                  3681
20 	**                                  3491
25 	**                                  3523
30 	**                                  3484
35 	**                                  3507
40 	***                                 6663
50 	*********                           22141
100 	*****                               12026
250 	*                                   1117
500 	*                                   583

sample: ED_5
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11178
5 	****                                6937
10 	***                                 6209
15 	***                                 5949
20 	***                                 5386
25 	***                                 5130
30 	***                                 4579
35 	***                                 4179
40 	****                                6601
50 	*******                             13947
100 	***                                 3829
250 	*                                   321
500 	*                                   373

sample: ED_6
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10475
5 	***                                 5428
10 	***                                 4693
15 	***                                 4545
20 	***                                 4636
25 	***                                 4498
30 	***                                 4117
35 	***                                 3876
40 	****                                6933
50 	********                            18248
100 	****                                6658
250 	*                                   491
500 	*                                   434

sample: ED_7
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10193
5 	***                                 4731
10 	**                                  3687
15 	**                                  3508
20 	**                                  3550
25 	**                                  3734
30 	**                                  3665
35 	**                                  3746
40 	****                                6844
50 	*********                           21214
100 	*****                               10414
250 	*                                   836
500 	*                                   507

sample: ED_8
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11606
5 	***                                 5748
10 	***                                 4214
15 	**                                  3603
20 	**                                  3296
25 	**                                  3313
30 	**                                  3348
35 	**                                  3471
40 	***                                 6539
50 	**********                          23280
100 	*****                               12230
250 	*                                   952
500 	*                                   551

sample: ED_9
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12522
5 	****                                6232
10 	***                                 4604
15 	***                                 4144
20 	***                                 3888
25 	***                                 3756
30 	**                                  3381
35 	**                                  3031
40 	***                                 5273
50 	*******                             15227
100 	*****                               8767
250 	*                                   832
500 	*                                   496

sample: EN_1
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12030
5 	****                                6755
10 	***                                 5338
15 	***                                 4878
20 	***                                 4843
25 	***                                 4654
30 	***                                 4732
35 	***                                 4293
40 	****                                7445
50 	********                            17300
100 	***                                 4530
250 	*                                   344
500 	*                                   386

sample: EN_10
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              10673
5 	****                                6027
10 	***                                 4747
15 	***                                 4318
20 	***                                 4151
25 	***                                 3880
30 	***                                 3414
35 	**                                  3036
40 	***                                 4992
50 	*******                             12295
100 	***                                 4927
250 	*                                   402
500 	*                                   383

sample: EN_11
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              13064
5 	****                                6949
10 	***                                 4934
15 	***                                 4266
20 	***                                 4311
25 	***                                 4380
30 	***                                 4280
35 	***                                 4210
40 	****                                7811
50 	********                            20173
100 	***                                 6193
250 	*                                   456
500 	*                                   428

sample: EN_12
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12907
5 	*****                               9068
10 	****                                7945
15 	****                                7428
20 	****                                6836
25 	***                                 5812
30 	***                                 4950
35 	***                                 3937
40 	***                                 5680
50 	****                                7957
100 	*                                   1217
250 	*                                   191
500 	*                                   289

sample: EN_13
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9808
5 	****                                6627
10 	***                                 5799
15 	***                                 5523
20 	***                                 5286
25 	***                                 4817
30 	***                                 4577
35 	***                                 4073
40 	****                                6802
50 	*******                             14516
100 	***                                 4129
250 	*                                   341
500 	*                                   363

sample: EN_14
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10737
5 	***                                 5627
10 	***                                 4280
15 	**                                  3786
20 	**                                  3667
25 	**                                  3812
30 	**                                  3775
35 	**                                  3720
40 	****                                6870
50 	*********                           21257
100 	*****                               9779
250 	*                                   831
500 	*                                   496

sample: EN_15
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             13829
5 	****                                7919
10 	****                                6393
15 	***                                 5706
20 	***                                 4837
25 	***                                 4306
30 	***                                 3733
35 	**                                  3202
40 	***                                 5118
50 	******                              11413
100 	**                                  3531
250 	*                                   300
500 	*                                   353

sample: EN_16
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              11934
5 	****                                6716
10 	***                                 5467
15 	***                                 4672
20 	***                                 4245
25 	***                                 3945
30 	**                                  3645
35 	**                                  3452
40 	***                                 6166
50 	********                            18014
100 	****                                8264
250 	*                                   691
500 	*                                   481

sample: EN_17
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11276
5 	***                                 6160
10 	***                                 4835
15 	***                                 4259
20 	**                                  3942
25 	**                                  3861
30 	**                                  3844
35 	**                                  3663
40 	****                                6948
50 	*********                           20665
100 	****                                9207
250 	*                                   726
500 	*                                   499

sample: EN_18
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             13199
5 	****                                6933
10 	***                                 4863
15 	***                                 4324
20 	***                                 4183
25 	***                                 3831
30 	***                                 3451
35 	**                                  2911
40 	***                                 5008
50 	******                              12230
100 	***                                 5210
250 	*                                   469
500 	*                                   392

sample: EN_19
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             12431
5 	****                                6578
10 	***                                 4867
15 	***                                 4567
20 	***                                 4262
25 	***                                 3914
30 	***                                 3348
35 	**                                  2879
40 	***                                 4371
50 	******                              9527
100 	**                                  2994
250 	*                                   288
500 	*                                   309

sample: EN_2
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11305
5 	***                                 6209
10 	***                                 4960
15 	***                                 4630
20 	***                                 4554
25 	***                                 4570
30 	***                                 4297
35 	***                                 4161
40 	****                                7427
50 	********                            18700
100 	***                                 5486
250 	*                                   388
500 	*                                   411

sample: EN_20
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9480
5 	***                                 5270
10 	***                                 4081
15 	***                                 3862
20 	**                                  3470
25 	**                                  3542
30 	**                                  3295
35 	**                                  3035
40 	***                                 5308
50 	********                            17205
100 	******                              10820
250 	*                                   1075
500 	*                                   525

sample: EN_3
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              11555
5 	****                                8013
10 	****                                7198
15 	****                                6301
20 	***                                 5781
25 	***                                 5067
30 	***                                 4437
35 	***                                 3740
40 	***                                 5965
50 	******                              11371
100 	**                                  2634
250 	*                                   277
500 	*                                   334

sample: EN_4
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10636
5 	****                                6997
10 	****                                6146
15 	***                                 5820
20 	***                                 5462
25 	***                                 5002
30 	***                                 4422
35 	***                                 4076
40 	****                                6413
50 	*******                             13705
100 	***                                 3745
250 	*                                   286
500 	*                                   379

sample: EN_5
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9757
5 	***                                 4928
10 	***                                 4149
15 	***                                 4081
20 	***                                 3972
25 	***                                 3988
30 	***                                 4025
35 	**                                  3669
40 	****                                7064
50 	*********                           19998
100 	****                                8278
250 	*                                   622
500 	*                                   467

sample: EN_6
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9588
5 	***                                 5216
10 	**                                  3705
15 	**                                  2996
20 	**                                  2861
25 	**                                  2875
30 	**                                  2955
35 	**                                  3053
40 	***                                 6221
50 	**********                          23540
100 	******                              14131
250 	*                                   1175
500 	*                                   575

sample: EN_7
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9868
5 	***                                 5075
10 	**                                  3782
15 	**                                  3035
20 	**                                  2974
25 	**                                  2874
30 	**                                  3080
35 	**                                  3048
40 	***                                 6308
50 	**********                          23673
100 	******                              13879
250 	*                                   1156
500 	*                                   579

sample: EN_8
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             13602
5 	****                                6757
10 	***                                 4797
15 	***                                 4068
20 	***                                 3930
25 	***                                 3610
30 	**                                  3350
35 	**                                  2997
40 	***                                 4936
50 	*******                             13652
100 	****                                7251
250 	*                                   745
500 	*                                   447

sample: EN_9
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             13000
5 	****                                6596
10 	***                                 4579
15 	***                                 4030
20 	***                                 3891
25 	***                                 3528
30 	**                                  3170
35 	**                                  2757
40 	***                                 4433
50 	******                              11378
100 	****                                5331
250 	*                                   523
500 	*                                   395

sample: ID_1
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              11847
5 	***                                 6431
10 	***                                 5406
15 	***                                 4711
20 	***                                 4690
25 	***                                 4653
30 	***                                 4387
35 	***                                 4310
40 	****                                7449
50 	********                            18016
100 	***                                 4827
250 	*                                   344
500 	*                                   411

sample: ID_10
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             12388
5 	****                                6519
10 	***                                 4569
15 	***                                 4062
20 	***                                 3946
25 	***                                 3782
30 	***                                 3393
35 	**                                  3045
40 	***                                 4909
50 	*******                             12693
100 	***                                 5309
250 	*                                   481
500 	*                                   383

sample: ID_11
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10756
5 	****                                6480
10 	***                                 5436
15 	***                                 5295
20 	***                                 5423
25 	***                                 5209
30 	***                                 5015
35 	***                                 4517
40 	****                                7701
50 	*******                             15361
100 	**                                  3093
250 	*                                   281
500 	*                                   341

sample: ID_12
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              10918
5 	****                                7216
10 	****                                6422
15 	****                                6122
20 	***                                 5728
25 	***                                 5389
30 	***                                 4912
35 	***                                 4156
40 	****                                6693
50 	******                              12154
100 	**                                  2284
250 	*                                   224
500 	*                                   319

sample: ID_13
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10803
5 	***                                 5774
10 	***                                 4651
15 	***                                 4308
20 	***                                 4293
25 	***                                 4475
30 	***                                 4399
35 	***                                 4200
40 	****                                7586
50 	*********                           19630
100 	***                                 5966
250 	*                                   398
500 	*                                   415

sample: ID_14
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10166
5 	***                                 5946
10 	***                                 5157
15 	***                                 4928
20 	***                                 4762
25 	***                                 4651
30 	***                                 4316
35 	***                                 4064
40 	****                                7023
50 	********                            17089
100 	***                                 5769
250 	*                                   432
500 	*                                   411

sample: ID_15
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10735
5 	***                                 5559
10 	***                                 4888
15 	***                                 4843
20 	***                                 4725
25 	***                                 4292
30 	***                                 4226
35 	***                                 3891
40 	****                                6666
50 	********                            16955
100 	****                                6696
250 	*                                   545
500 	*                                   417

sample: ID_16
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             13703
5 	*****                               9111
10 	*****                               7952
15 	****                                6752
20 	****                                5534
25 	***                                 4380
30 	***                                 3532
35 	**                                  2808
40 	***                                 3982
50 	****                                6476
100 	**                                  1294
250 	*                                   173
500 	*                                   280

sample: ID_17
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********                            13658
5 	******                              9927
10 	*****                               8298
15 	****                                6658
20 	****                                5071
25 	***                                 3752
30 	**                                  2668
35 	**                                  2019
40 	**                                  2584
50 	***                                 3047
100 	*                                   471
250 	*                                   121
500 	*                                   199

sample: ID_18
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              11805
5 	****                                7405
10 	***                                 6230
15 	***                                 5901
20 	***                                 5281
25 	***                                 4922
30 	***                                 4348
35 	**                                  3672
40 	****                                6435
50 	*******                             14497
100 	***                                 4314
250 	*                                   353
500 	*                                   401

sample: ID_19
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              15331
5 	***                                 5247
10 	**                                  3899
15 	**                                  3319
20 	**                                  2818
25 	**                                  2502
30 	**                                  2082
35 	**                                  1881
40 	**                                  3420
50 	******                              15375
100 	*********                           25423
250 	****                                8453
500 	**                                  2147

sample: ID_2
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12592
5 	****                                7210
10 	***                                 5964
15 	***                                 5513
20 	***                                 5176
25 	***                                 4972
30 	***                                 4691
35 	***                                 4225
40 	****                                6931
50 	*******                             15441
100 	**                                  3642
250 	*                                   299
500 	*                                   380

sample: ID_20
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12875
5 	***                                 5433
10 	**                                  3847
15 	**                                  3315
20 	**                                  3294
25 	**                                  2963
30 	**                                  2886
35 	**                                  2663
40 	***                                 4976
50 	********                            17887
100 	*******                             16674
250 	**                                  2712
500 	*                                   805

sample: ID_3
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             13243
5 	******                              10512
10 	*****                               9123
15 	****                                7021
20 	****                                5638
25 	***                                 4100
30 	**                                  2972
35 	**                                  2160
40 	**                                  2781
50 	**                                  3050
100 	*                                   464
250 	*                                   115
500 	*                                   201

sample: ID_4
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10449
5 	***                                 6099
10 	***                                 4964
15 	***                                 4727
20 	***                                 4737
25 	***                                 4512
30 	***                                 4266
35 	***                                 4007
40 	****                                7089
50 	********                            17901
100 	***                                 6269
250 	*                                   461
500 	*                                   432

sample: ID_5
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9888
5 	***                                 4686
10 	***                                 3908
15 	***                                 3869
20 	***                                 3916
25 	***                                 3877
30 	***                                 3863
35 	***                                 3766
40 	****                                6881
50 	*********                           20253
100 	*****                               9140
250 	*                                   713
500 	*                                   507

sample: ID_6
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11186
5 	***                                 4731
10 	**                                  3333
15 	**                                  2873
20 	**                                  2723
25 	**                                  2933
30 	**                                  2902
35 	**                                  2913
40 	***                                 6049
50 	**********                          22756
100 	*******                             15016
250 	**                                  1450
500 	*                                   636

sample: ID_7
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9990
5 	****                                6515
10 	***                                 5524
15 	***                                 5232
20 	***                                 5184
25 	***                                 4783
30 	***                                 4465
35 	***                                 4044
40 	****                                6930
50 	*******                             15614
100 	***                                 4473
250 	*                                   326
500 	*                                   392

sample: ID_8
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             15486
5 	****                                7776
10 	***                                 5676
15 	***                                 5006
20 	***                                 4730
25 	***                                 4546
30 	***                                 4344
35 	**                                  4007
40 	****                                7246
50 	*******                             17954
100 	***                                 6354
250 	*                                   455
500 	*                                   423

sample: ID_9
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12757
5 	****                                6238
10 	***                                 4375
15 	***                                 3983
20 	***                                 3846
25 	***                                 3715
30 	**                                  3419
35 	**                                  3032
40 	***                                 5060
50 	*******                             15472
100 	*****                               8722
250 	*                                   817
500 	*                                   493

sample: IN_1
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12218
5 	****                                8249
10 	****                                6984
15 	****                                6745
20 	****                                6398
25 	***                                 5759
30 	***                                 5005
35 	***                                 4326
40 	****                                6370
50 	*****                               9886
100 	**                                  1454
250 	*                                   203
500 	*                                   296

sample: IN_10
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12568
5 	***                                 6118
10 	***                                 4550
15 	***                                 4035
20 	***                                 3815
25 	**                                  3649
30 	**                                  3313
35 	**                                  2986
40 	***                                 5408
50 	********                            16194
100 	*****                               10092
250 	*                                   1027
500 	*                                   550

sample: IN_11
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11269
5 	***                                 6380
10 	***                                 4924
15 	***                                 4587
20 	***                                 4766
25 	***                                 4812
30 	***                                 4864
35 	***                                 4540
40 	****                                8061
50 	********                            18327
100 	***                                 4097
250 	*                                   305
500 	*                                   378

sample: IN_12
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              11419
5 	****                                7317
10 	****                                6344
15 	***                                 6100
20 	***                                 5953
25 	***                                 5637
30 	***                                 4941
35 	***                                 4439
40 	****                                6911
50 	******                              12264
100 	**                                  2210
250 	*                                   250
500 	*                                   333

sample: IN_13
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12001
5 	****                                8207
10 	****                                7182
15 	****                                6684
20 	***                                 5938
25 	***                                 5089
30 	***                                 4472
35 	***                                 3719
40 	***                                 5597
50 	*****                               10436
100 	**                                  2292
250 	*                                   229
500 	*                                   306

sample: IN_14
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10923
5 	***                                 6366
10 	***                                 5298
15 	***                                 5116
20 	***                                 4890
25 	***                                 4710
30 	***                                 4396
35 	***                                 4155
40 	****                                7085
50 	********                            17103
100 	***                                 5512
250 	*                                   420
500 	*                                   425

sample: IN_15
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10835
5 	***                                 5145
10 	***                                 4097
15 	***                                 3928
20 	**                                  3788
25 	**                                  3706
30 	**                                  3748
35 	**                                  3608
40 	****                                6555
50 	*********                           20132
100 	*****                               9674
250 	*                                   841
500 	*                                   505

sample: IN_16
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11218
5 	***                                 6205
10 	***                                 5003
15 	***                                 4722
20 	***                                 4371
25 	***                                 4052
30 	***                                 3774
35 	**                                  3554
40 	****                                6303
50 	********                            17768
100 	****                                7145
250 	*                                   536
500 	*                                   451

sample: IN_17
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               11730
5 	***                                 6365
10 	***                                 4783
15 	***                                 4110
20 	**                                  3951
25 	**                                  3935
30 	**                                  3976
35 	**                                  3805
40 	****                                6993
50 	*********                           21132
100 	****                                8671
250 	*                                   606
500 	*                                   495

sample: IN_18
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10766
5 	****                                6513
10 	***                                 5529
15 	***                                 5167
20 	***                                 5036
25 	***                                 4724
30 	***                                 4612
35 	***                                 4138
40 	****                                7033
50 	********                            16579
100 	***                                 4719
250 	*                                   326
500 	*                                   389

sample: IN_19
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             12194
5 	****                                6431
10 	***                                 4642
15 	***                                 4237
20 	***                                 3985
25 	***                                 3800
30 	***                                 3498
35 	**                                  2928
40 	***                                 4991
50 	*******                             12277
100 	***                                 5219
250 	*                                   400
500 	*                                   362

sample: IN_2
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12381
5 	****                                7442
10 	***                                 6159
15 	***                                 5760
20 	***                                 5359
25 	***                                 5104
30 	***                                 4558
35 	***                                 4238
40 	****                                6827
50 	*******                             14403
100 	**                                  3342
250 	*                                   307
500 	*                                   365

sample: IN_20
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10591
5 	***                                 5071
10 	***                                 3902
15 	**                                  3515
20 	**                                  3321
25 	**                                  3209
30 	**                                  3063
35 	**                                  2767
40 	***                                 5166
50 	********                            18256
100 	*******                             15428
250 	**                                  2089
500 	*                                   727

sample: IN_3
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             12721
5 	*****                               9431
10 	*****                               8030
15 	****                                6881
20 	****                                5955
25 	***                                 4831
30 	***                                 4078
35 	**                                  3188
40 	***                                 4526
50 	****                                7127
100 	**                                  1303
250 	*                                   188
500 	*                                   271

sample: IN_4
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10474
5 	***                                 5779
10 	***                                 4664
15 	***                                 4259
20 	***                                 4223
25 	***                                 4257
30 	***                                 4026
35 	***                                 3907
40 	****                                6953
50 	*********                           19544
100 	****                                7998
250 	*                                   610
500 	*                                   499

sample: IN_5
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10480
5 	***                                 4646
10 	**                                  3592
15 	**                                  3137
20 	**                                  3185
25 	**                                  3242
30 	**                                  3433
35 	**                                  3287
40 	***                                 6351
50 	**********                          22279
100 	******                              12249
250 	*                                   1088
500 	*                                   559

sample: IN_6
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12254
5 	***                                 5319
10 	**                                  3761
15 	**                                  3169
20 	**                                  3154
25 	**                                  3155
30 	**                                  3434
35 	**                                  3300
40 	***                                 6547
50 	*********                           22435
100 	******                              12530
250 	*                                   1075
500 	*                                   616

sample: IN_7
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10604
5 	****                                6661
10 	***                                 5496
15 	***                                 5303
20 	***                                 5052
25 	***                                 4911
30 	***                                 4492
35 	***                                 4040
40 	****                                6877
50 	*******                             16071
100 	***                                 4593
250 	*                                   344
500 	*                                   402

sample: IN_8
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              13428
5 	****                                7700
10 	***                                 5863
15 	***                                 5149
20 	***                                 4731
25 	***                                 4451
30 	***                                 4183
35 	**                                  4007
40 	****                                6969
50 	********                            17870
100 	***                                 5942
250 	*                                   400
500 	*                                   444

sample: IN_9
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             12843
5 	****                                6537
10 	***                                 4490
15 	***                                 3980
20 	***                                 3993
25 	***                                 3700
30 	**                                  3431
35 	**                                  2970
40 	***                                 4984
50 	*******                             13676
100 	****                                6992
250 	*                                   662
500 	*                                   426

sample: TD_1
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              11540
5 	****                                6157
10 	***                                 4683
15 	***                                 4250
20 	***                                 4029
25 	***                                 3665
30 	***                                 3388
35 	**                                  2978
40 	***                                 4790
50 	*******                             13166
100 	****                                7291
250 	*                                   863
500 	*                                   512

sample: TD_10
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              11657
5 	****                                7000
10 	***                                 6176
15 	***                                 5245
20 	***                                 4332
25 	**                                  3844
30 	**                                  3491
35 	**                                  3061
40 	***                                 5270
50 	*******                             14987
100 	*****                               9826
250 	**                                  1583
500 	*                                   688

sample: TD_11
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10798
5 	***                                 5844
10 	***                                 4744
15 	**                                  3894
20 	**                                  3649
25 	**                                  3226
30 	**                                  3016
35 	**                                  2902
40 	***                                 5458
50 	********                            18533
100 	*******                             15012
250 	**                                  2314
500 	*                                   834

sample: TD_12
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              10406
5 	****                                6165
10 	***                                 4767
15 	***                                 4307
20 	***                                 4142
25 	***                                 3728
30 	***                                 3453
35 	**                                  3093
40 	***                                 5138
50 	*******                             13513
100 	****                                5803
250 	*                                   486
500 	*                                   396

sample: TD_13
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10687
5 	***                                 4764
10 	**                                  3673
15 	**                                  3281
20 	**                                  3142
25 	**                                  3036
30 	**                                  2753
35 	**                                  2591
40 	***                                 4763
50 	********                            18535
100 	********                            18207
250 	**                                  2864
500 	*                                   876

sample: TD_14
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               9739
5 	***                                 5578
10 	***                                 4261
15 	***                                 4090
20 	***                                 3923
25 	***                                 3693
30 	**                                  3341
35 	**                                  3050
40 	***                                 5400
50 	********                            16326
100 	*****                               9244
250 	*                                   851
500 	*                                   482

sample: TD_15
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             17066
5 	***                                 5769
10 	**                                  3772
15 	**                                  2972
20 	**                                  2910
25 	**                                  2910
30 	**                                  2991
35 	**                                  3193
40 	***                                 6273
50 	*********                           24116
100 	******                              13410
250 	*                                   1053
500 	*                                   590

sample: TD_16
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********                            15490
5 	******                              11656
10 	*****                               8646
15 	****                                6258
20 	***                                 4742
25 	***                                 3532
30 	**                                  2814
35 	**                                  2075
40 	**                                  3045
50 	***                                 5298
100 	**                                  1552
250 	*                                   264
500 	*                                   348

sample: TD_17
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             14828
5 	*****                               10080
10 	****                                7826
15 	***                                 6282
20 	***                                 5058
25 	***                                 4301
30 	**                                  3674
35 	**                                  3019
40 	***                                 4644
50 	*****                               10445
100 	***                                 4361
250 	*                                   478
500 	*                                   432

sample: TD_18
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10795
5 	***                                 6110
10 	***                                 5156
15 	***                                 4191
20 	**                                  3745
25 	**                                  3583
30 	**                                  3372
35 	**                                  3225
40 	***                                 5825
50 	********                            18417
100 	******                              12372
250 	**                                  1733
500 	*                                   666

sample: TD_2
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********                          13802
5 	*****                               6762
10 	****                                4254
15 	***                                 3436
20 	***                                 3064
25 	***                                 2600
30 	**                                  2210
35 	**                                  1699
40 	***                                 2406
50 	****                                4965
100 	**                                  2087
250 	*                                   314
500 	*                                   352

sample: TD_20
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10885
5 	***                                 6664
10 	***                                 5207
15 	***                                 4188
20 	**                                  3755
25 	**                                  3628
30 	**                                  3611
35 	**                                  3560
40 	****                                6692
50 	*********                           20717
100 	*****                               10077
250 	*                                   760
500 	*                                   508

sample: TD_22
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	****                                8553
5 	***                                 4521
10 	***                                 3981
15 	**                                  3415
20 	**                                  3275
25 	**                                  3360
30 	**                                  3315
35 	**                                  3348
40 	****                                6504
50 	**********                          22198
100 	******                              11952
250 	*                                   875
500 	*                                   561

sample: TD_24
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	****                                8772
5 	***                                 4602
10 	**                                  3630
15 	**                                  2841
20 	**                                  2822
25 	**                                  2955
30 	**                                  3078
35 	**                                  2988
40 	***                                 6045
50 	**********                          23328
100 	*******                             14091
250 	*                                   1116
500 	*                                   566

sample: TD_4
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              11129
5 	****                                6134
10 	***                                 4689
15 	***                                 4396
20 	***                                 3988
25 	***                                 3736
30 	**                                  3277
35 	**                                  2863
40 	***                                 4672
50 	*******                             12672
100 	****                                7081
250 	*                                   842
500 	*                                   489

sample: TD_5
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12369
5 	***                                 6521
10 	***                                 4599
15 	**                                  3838
20 	**                                  3627
