
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
IN_14	76401	67.057	1611.983	63988	79.599	1761.136	0
IN_15	76564	88.286	2396.968	64492	104.391	2611.375	0
IN_16	75104	78.137	2172.218	62446	93.503	2381.93	0
IN_17	80554	78.271	1940.35	67385	93.114	2121.177	0
IN_18	75533	63.269	1513.91	63269	75.063	1653.883	0
IN_19	64966	66.457	1644.752	51193	83.7	1852.462	0
IN_2	76246	52.664	925.291	62273	63.958	1023.512	0
IN_20	77107	114.946	3144.045	65267	135.389	3416.947	0
IN_3	68532	42.004	1101.899	53788	52.818	1243.567	0
IN_4	77195	79.587	2130.676	65468	93.427	2313.376	0
IN_5	77530	97.86	2554.086	65963	114.637	2768.642	0
IN_6	80751	96.555	2529.107	67132	115.693	2773.417	0
IN_7	74848	64.025	1602.563	62718	75.935	1750.439	0
IN_8	81139	67.308	1727.797	65894	82.331	1916.963	0
IN_9	68686	75.058	1965.463	54267	94.381	2210.813	0
TD_1	67314	91.857	2386.607	54314	113.285	2656.468	0
TD_10	77164	108.272	2699.594	64065	129.939	2962.286	0
TD_11	80229	124.804	3530.69	68166	146.495	3829.967	0
TD_12	65399	70.638	1789.864	53536	85.76	1977.938	0
TD_13	79174	126.612	3379.991	67311	148.541	3665.321	0
TD_14	69980	84.758	2017.12	58949	100.179	2197.418	0
TD_15	87027	84.409	1583.196	68610	106.547	1782.418	0
TD_16	65722	55.36	2006.015	47584	75.479	2357.229	0
TD_17	75430	71.403	2323.126	58344	91.587	2641.135	0
TD_18	79194	108.315	2673.285	67053	127.513	2904.828	0
TD_2	47953	83.469	3228.757	32397	122.413	3927.58	0
TD_20	80254	80.279	1685.118	67868	94.501	1832.088	0
TD_22	75860	90.863	1641.663	66275	103.676	1755.998	0
TD_24	76836	100.545	2206.966	67048	114.898	2362.23	0
TD_4	65970	89.755	2550.703	53347	110.437	2836.075	0
TD_5	82390	92.488	2673.298	68448	110.856	2932.607	0
TD_6	75943	80.119	1834.602	65564	92.428	1974.201	0
TD_7	75554	68.766	1594.509	64609	80.007	1724.032	0
TD_8	74930	68.723	1195.475	64421	79.544	1288.978	0
TD_9	65970	83.308	3236.923	49431	110.367	3739.044	0
TN_1	65686	93.593	2609.241	51983	117.646	2932.58	0
TN_10	66686	69.929	2533.261	52438	88.253	2856.488	0
TN_11	71285	71.37	1979.724	57356	88.109	2206.736	0
TN_13	73551	76.259	1861.692	61601	90.591	2033.958	0
TN_14	60152	80.324	2431.399	46517	103.178	2764.457	0
TN_15	72602	102.499	3063.365	60756	122.036	3348.368	0
TN_17	73821	59.698	1407.174	62630	69.916	1527.504	0
TN_18	74534	71.422	1614.394	64362	82.327	1737.038	0
TN_19	67058	53.987	1945.567	49197	72.654	2271.157	0
TN_2	53933	77.508	2564.535	40220	103.122	2969.282	0
TN_21	58119	46.989	1835.042	39758	67.492	2218.37	0
TN_22	66103	58.97	2180.002	48641	79.319	2541.052	0
TN_23	73551	95.589	2706.775	61487	113.882	2960.086	0
TN_25	76543	104.528	2718.152	66641	119.73	2912.795	0
TN_27	75474	87.44	2035.691	65854	99.874	2179.034	0
TN_3	73650	45.993	957.958	58762	56.995	1072.189	0
TN_5	72241	43.559	1435.778	53757	57.788	1664.178	0
TN_6	70901	78.447	1951.633	61152	90.592	2101.194	0
TN_7	75045	72.658	1620.889	64759	83.818	1744.613	0
TN_9	84508	96.304	2486.417	71107	114.024	2710.242	0
WD_1	41042	71.519	3296.229	23865	121.299	4321.973	0
WD_10	64771	54.693	1359.483	47452	73.787	1587.886	0
WD_11	75969	78.774	2464.662	57409	103.483	2834.771	0
WD_12	94149	103.941	3991.221	69888	139.25	4631.945	0
WD_13	81969	55.264	1098.93	59541	75.208	1288.833	0
WD_14	84354	80.205	1815.152	64786	103.778	2070.637	0
WD_15	77412	69.578	2109.05	56644	94.262	2465.091	0
WD_16	64543	38.065	898.079	41992	57.174	1112.942	0
WD_17	57228	36.259	1022.602	35990	56.169	1289.082	0
WD_18	81710	70.749	1650.624	63537	90.349	1871.394	0
WD_19	85365	84.881	2646.834	66168	108.882	3005.946	0
WD_2	36685	71.977	3710.736	21399	121.716	4857.949	0
WD_20	76290	50.432	1081.467	62483	61.052	1194.734	0
WD_3	51364	57.006	2328.74	32013	90.032	2949.273	0
WD_4	68477	55.242	1915.96	47521	78.574	2299.551	0
WD_5	63251	49.824	1147.53	42493	73.011	1399.45	0
WD_6	61386	31.831	808.654	38885	48.788	1015.643	0
WD_7	62330	32.364	390.319	40919	48.016	480.99	0
WD_8	54124	54.498	1633.371	35971	80.812	2003.05	0
