Sample	P5 adapter	Pool	DNA	Adapters	10X T4 buffer	1.5M NaCl	T4 Ligase	Water	Total
St001.1	A01	1	31.62	0.94	4.00	1.00	2.0	0.44	40.00
St001.2	A01	1	31.62	0.94	4.00	1.00	2.0	0.44	40.00
St003.1	B01	1	25.81	0.98	3.30	0.82	2.0	0.08	33.00
St003.2	B01	1	25.81	0.98	3.30	0.82	2.0	0.08	33.00
St006.1	G01	2	27.56	1.01	3.50	0.88	2.0	0.06	35.00
St006.2	G01	2	27.56	1.01	3.50	0.88	2.0	0.06	35.00
St015.1	H01	2	25.91	0.98	3.40	0.85	2.0	0.86	34.00
St015.2	H01	2	25.91	0.98	3.40	0.85	2.0	0.86	34.00
St016.1	E01	3	30.04	0.96	3.80	0.95	2.0	0.25	38.00
St016.2	E01	3	30.04	0.96	3.80	0.95	2.0	0.25	38.00
St019.1	F01	3	27.42	0.99	3.50	0.88	2.0	0.22	35.00
St019.2	F01	3	27.42	0.99	3.50	0.88	2.0	0.22	35.00
St037.1	C01	1	26.40	0.97	3.40	0.85	2.0	0.38	34.00
St037.2	C01	1	26.40	0.97	3.40	0.85	2.0	0.38	34.00
St039.1	D01	1	30.50	0.95	3.90	0.97	2.0	0.67	39.00
St039.2	D01	1	30.50	0.95	3.90	0.97	2.0	0.67	39.00
St043.1	A01	2	29.55	0.95	3.80	0.95	2.0	0.75	38.00
St043.2	A01	2	29.55	0.95	3.80	0.95	2.0	0.75	38.00
St044.1	B01	2	30.00	1.01	3.80	0.95	2.0	0.24	38.00
St044.2	B01	2	30.00	1.01	3.80	0.95	2.0	0.24	38.00
St049.1	G01	3	36.62	0.93	4.60	1.15	2.0	0.70	46.00
St049.2	G01	3	36.62	0.93	4.60	1.15	2.0	0.70	46.00
St050.1	H01	3	29.37	0.95	3.70	0.93	2.0	0.06	37.00
St050.2	H01	3	29.37	0.95	3.70	0.93	2.0	0.06	37.00
Bl065.1	E01	1	34.56	0.93	4.30	1.07	2.0	0.14	43.00
Bl065.2	E01	1	34.56	0.93	4.30	1.07	2.0	0.14	43.00
Bl076.1	F01	1	34.42	0.96	4.30	1.07	2.0	0.24	43.00
Bl076.2	F01	1	34.42	0.96	4.30	1.07	2.0	0.24	43.00
Bl080.1	C01	2	32.20	0.87	4.10	1.02	2.0	0.80	41.00
Bl080.2	C01	2	32.20	0.87	4.10	1.02	2.0	0.80	41.00
Bl083.1	D01	2	35.64	0.91	4.50	1.12	2.0	0.83	45.00
Bl104.1	A01	3	29.23	0.97	3.70	0.93	2.0	0.17	37.00
Bl104.2	A01	3	29.23	0.97	3.70	0.93	2.0	0.17	37.00
Bl108.1	B01	3	29.49	0.98	3.80	0.95	2.0	0.78	38.00
Bl108.2	B01	3	29.49	0.98	3.80	0.95	2.0	0.78	38.00
Bl091.1	G01	1	35.92	0.94	4.50	1.12	2.0	0.51	45.00
Bl091.2	G01	1	35.92	0.94	4.50	1.12	2.0	0.51	45.00
Bl093.1	H01	1	37.50	1.10	4.70	1.18	2.0	0.52	47.00
Bl093.2	H01	1	37.50	1.10	4.70	1.18	2.0	0.52	47.00
Bl094.1	E01	2	31.89	0.97	4.00	1.00	2.0	0.14	40.00
Bl094.2	E01	2	31.89	0.97	4.00	1.00	2.0	0.14	40.00
Bl095.1	F01	2	34.66	1.00	4.40	1.10	2.0	0.84	44.00
Bl095.2	F01	2	34.66	1.00	4.40	1.10	2.0	0.84	44.00
Bl098.1	C01	3	34.81	0.95	4.40	1.10	2.0	0.74	44.00
Bl098.2	C01	3	34.81	0.95	4.40	1.10	2.0	0.74	44.00
Bl116.1	D01	3	24.55	1.07	3.20	0.80	2.0	0.38	32.00
Bl116.2	D01	3	24.55	1.07	3.20	0.80	2.0	0.38	32.00
