450	500	104839
451	501	103623
452	502	102802
453	503	102403
454	504	102039
455	505	101759
456	506	101369
457	507	101150
458	508	100718
459	509	100506
460	510	100173
461	511	99800
462	512	99407
463	513	98776
464	514	97317
465	515	96666
466	516	96537
467	517	96305
468	518	96006
469	519	95728
470	520	95380
471	521	95013
472	522	94704
473	523	94660
474	524	94423
475	525	94299
476	526	94097
477	527	93883
478	528	93624
479	529	93520
480	530	93174
481	531	92958
482	532	92822
483	533	92601
484	534	92448
485	535	92388
486	536	92116
487	537	91860
488	538	91763
489	539	91707
490	540	91642
491	541	91276
492	542	91184
493	543	90834
494	544	90409
495	545	89138
496	546	80301
497	547	79360
498	548	78975
499	549	78851
500	550	78820
501	551	78561
502	552	78287
503	553	77972
504	554	77819
505	555	77505
506	556	77209
507	557	77020
508	558	76811
509	559	76520
510	560	76436
511	561	76268
512	562	76000
513	563	75807
514	564	75526
515	565	75294
516	566	74867
517	567	74691
518	568	74541
519	569	74344
520	570	74128
521	571	73930
522	572	73611
523	573	73270
524	574	73011
525	575	72797
526	576	72540
527	577	72267
528	578	71891
529	579	71562
530	580	71305
531	581	71052
532	582	70797
533	583	70603
534	584	70353
535	585	70168
536	586	69940
537	587	69872
538	588	69592
539	589	69334
540	590	69094
541	591	68965
542	592	68880
543	593	68736
544	594	68716
545	595	68486
546	596	68115
547	597	67891
548	598	67733
549	599	67605
550	600	67519
551	601	67312
552	602	67192
553	603	67145
554	604	66884
555	605	66857
556	606	66765
557	607	66743
558	608	66855
559	609	67344
560	610	67583
561	611	67823
562	612	67838
563	613	67666
564	614	67525
565	615	67353
566	616	67314
567	617	67138
568	618	67008
569	619	66865
570	620	66690
571	621	66539
572	622	66479
573	623	66258
574	624	66099
575	625	66059
576	626	65987
577	627	65885
578	628	65771
579	629	65649
580	630	65499
581	631	65349
582	632	65142
583	633	65044
584	634	64902
585	635	64659
586	636	64500
587	637	64284
588	638	64326
589	639	64171
590	640	63994
591	641	63839
592	642	63580
593	643	63394
594	644	63105
595	645	63037
596	646	62833
597	647	62748
598	648	62673
599	649	62447
600	650	62210
601	651	62117
602	652	61991
603	653	61794
604	654	61721
605	655	61532
606	656	61314
607	657	61087
608	658	60800
609	659	60065
610	660	59530
611	661	59071
612	662	58887
613	663	58875
614	664	58708
615	665	58785
616	666	58654
617	667	58568
618	668	58485
619	669	58396
620	670	58402
621	671	58382
622	672	58249
623	673	58138
624	674	58158
625	675	57981
626	676	57862
627	677	57785
628	678	57664
629	679	57671
630	680	57620
631	681	57605
632	682	57659
633	683	57562
634	684	57528
635	685	57534
636	686	57472
637	687	57425
638	688	57237
639	689	57257
640	690	57257
641	691	57256
642	692	57297
643	693	57348
644	694	57371
645	695	57346
646	696	57275
647	697	57218
648	698	57151
649	699	57180
650	700	57153
651	701	57165
652	702	57199
653	703	57185
654	704	57158
655	705	57145
656	706	57173
657	707	57135
658	708	57080
659	709	57172
660	710	57070
661	711	57021
662	712	57044
663	713	57030
664	714	57063
665	715	57021
666	716	57037
667	717	56967
668	718	56973
669	719	57013
670	720	57034
671	721	57041
672	722	57037
673	723	57128
674	724	57136
675	725	57164
676	726	57233
677	727	57294
678	728	57353
679	729	57446
680	730	57511
681	731	57567
682	732	57573
683	733	57651
684	734	57636
685	735	57646
686	736	57702
687	737	57756
688	738	57775
689	739	57779
690	740	57871
691	741	57937
692	742	57926
693	743	57902
694	744	57887
695	745	57883
696	746	57972
697	747	58116
698	748	58134
699	749	58193
700	750	58253
