Sample	P5 Adapter	P5 (µl)	P7 (µl)	Annealing buffer (µl)	Total (µl)
St001	A01	4.00	1.00	2.00	7.00
St003	B01	4.00	1.00	2.00	7.00
St006	G01	4.00	1.00	2.00	7.00
St015	H01	4.00	1.00	2.00	7.00
St016	E01	4.00	1.00	2.00	7.00
St019	F01	4.00	1.00	2.00	7.00
St037	C01	4.00	1.00	2.00	7.00
St039	D01	4.00	1.00	2.00	7.00
St043	A01	4.00	1.00	2.00	7.00
St044	B01	4.00	1.00	2.00	7.00
St049	G01	4.00	1.00	2.00	7.00
St050	H01	4.00	1.00	2.00	7.00
Bl065	E01	4.00	1.00	2.00	7.00
Bl076	F01	4.00	1.00	2.00	7.00
Bl080	C01	4.00	1.00	2.00	7.00
Bl083	D01	4.00	1.00	2.00	7.00
Bl104	A01	4.00	1.00	2.00	7.00
Bl108	B01	4.00	1.00	2.00	7.00
Bl091	G01	4.00	1.00	2.00	7.00
Bl093	H01	4.00	1.00	2.00	7.00
Bl094	E01	4.00	1.00	2.00	7.00
Bl095	F01	4.00	1.00	2.00	7.00
Bl098	C01	4.00	1.00	2.00	7.00
Bl116	D01	4.00	1.00	2.00	7.00
